iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,1.90932517879,1.90870290494,4.07475490196,4.06272273699,4.07316981599
500,1.31051323335,1.30742940602,6.46446078431,6.59301496793,2050.42185953
1000,1.32060219638,1.32115904208,6.08915441176,6.16535994298,4601.9152829
1500,1.28370942786,1.28373264534,7.53676470588,7.25231646472,7425.87156785
2000,1.2772358252,1.27909947662,7.29932598039,7.25231646472,10188.3683158
2500,1.26775318104,1.26863825972,7.96568627451,8.00071275837,13032.0865711
3000,1.26581321022,1.26645021258,7.57506127451,7.89379900214,15825.8153828
3500,1.26018953792,1.26188272546,7.73590686275,8.00071275837,18290.3754451
4000,1.26374462026,1.26271051266,8.64736519608,8.87384176764,20434.7916835
4500,1.28390757093,1.28478055202,8.01930147059,8.03635067712,22574.5493059
5000,1.25180286254,1.25327325988,8.36397058824,8.51746258019,24715.1776962
5500,1.2915001714,1.28978896865,8.05759803922,8.39272986458,26860.3715374
6000,1.25666173156,1.25671360972,7.59037990196,7.57305773343,29021.9359768
