iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,1.88227851596,1.88301980969,3.63817401961,3.70634354954,4.729690554
500,1.01694082209,1.01599015225,2.94117647059,2.99358517463,2335.6449672
1000,1.01349926248,1.01318912349,2.49693627451,2.28082679971,4632.38091154
1500,1.01066929815,1.009748435,2.43566176471,2.20955096222,6919.15601528
2000,1.00711556808,1.00600997146,3.11734068627,2.8153955809,9201.91852213
2500,1.00344725949,1.00240566891,2.96415441176,2.79757662153,11493.8511368
3000,1.00699182199,1.00563878298,3.10202205882,3.13613684961,13775.6119506
3500,1.00623552679,1.00539586097,2.93351715686,2.88667141839,16059.6903496
4000,0.999563047106,0.998850670797,2.94883578431,2.69066286529,18337.8789651
4500,1.00284079556,1.00163313554,2.78033088235,2.60156806842,20806.4816997
5000,0.992787202188,0.990788678415,2.38204656863,2.35210263721,23347.9234293
5500,0.989312408011,0.987893069175,3.31648284314,3.2074126871,25861.2855954
6000,0.999380477368,0.998409146395,2.38204656863,2.08481824661,28383.5684625
