iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,1.5143088133,1.51311636696,6.64828431373,6.50392017106,1.447258102
500,1.43947049262,1.43630793645,5.07046568627,5.22095509622,783.184624663
1000,1.31800804378,1.31775720364,6.86274509804,6.55737704918,1566.35706431
1500,1.30901264975,1.30979334525,5.75980392157,5.96935138988,2334.40499654
2000,1.38749848641,1.38942845167,5.38449754902,5.09622238061,3095.94468075
2500,1.35027048452,1.35231945644,7.76654411765,7.48396293656,3857.43342501
3000,1.4230735087,1.42073934343,6.91636029412,6.87811831789,4625.26243089
3500,1.43670617162,1.43194602356,6.50275735294,6.69992872416,5388.19250033
4000,1.37473770755,1.36796887586,5.91299019608,6.66429080542,6154.34472966
4500,1.35505354281,1.3490917885,8.40992647059,8.03635067712,6915.57220468
5000,1.33385656893,1.33333873856,8.21844362745,8.66001425517,7680.54033501
5500,1.38648549928,1.38717490223,7.85845588235,7.75124732716,8444.86271877
6000,1.49343801583,1.48861837514,6.36488970588,6.37918745545,9207.04194753
