iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,1.85296511548,1.84914151909,2.25949754902,2.4233784747,0.058776378
100,1.75401588488,1.75070684085,3.56924019608,3.81325730577,6.469919766
300,1.49157489068,1.4879292942,3.11734068627,3.4034212402,19.394344694
500,1.37640423955,1.37098934255,5.29258578431,5.66642908054,32.380424007
1000,1.28786753037,1.2812940829,7.01593137255,7.3948681397,64.793691617
1500,1.19815994555,1.19165372366,9.55116421569,9.88952245189,97.390724286
2000,1.15339540177,1.1536992407,11.6574754902,12.0277975766,130.448061365
2500,1.12838148459,1.12826223832,11.8949142157,11.7783321454,163.584519984
3000,1.09637498898,1.09566244977,13.6029411765,14.0947968639,196.0355191
3500,1.07213945333,1.07399120186,15.4258578431,15.7519600855,228.657531081
4000,1.05762806067,1.05730507707,15.9390318627,15.965787598,261.483133321
4500,1.04755773808,1.04713729184,15.8624387255,15.8588738418,293.91458428
5000,1.15242817512,1.1543439126,12.1400122549,11.7961511048,326.466035941
5500,1.02418212733,1.02426087735,17.5015318627,17.6764076978,358.947300474
6000,1.01277223215,1.01433294674,18.053002451,18.1218816821,391.330890889
