iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,1.82639834542,1.82514272,3.69944852941,3.83107626515,3.422584857
500,1.38516499761,1.39551848995,4.45006127451,4.09836065574,1692.99341682
1000,1.38524770247,1.39389231882,6.44148284314,5.50605844619,3368.62357415
1500,1.34627924976,1.34958662614,7.02359068627,6.66429080542,5104.74986275
2000,1.36823094306,1.36791981342,7.12316176471,6.53955808981,6853.17937667
2500,1.36674326704,1.37101295824,4.91727941176,4.5794725588,8602.10017437
3000,1.38754347072,1.38619054524,4.35049019608,4.1874554526,10402.212098
3500,1.42192848287,1.4301155091,4.77941176471,4.72202423378,12189.2920364
4000,1.42379486114,1.42933826852,5.30024509804,5.20313613685,13932.0659108
4500,1.42387255682,1.42091980414,6.41084558824,6.23663578047,15825.3487785
5000,1.4346942872,1.43112155998,5.91299019608,5.80898075552,17989.2615805
5500,1.47082230553,1.47125608337,3.59221813725,3.4034212402,20695.2773245
6000,1.51282127494,1.52334421205,4.01348039216,3.51033499644,23352.8113545
