iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,1.59535055322,1.59202248134,5.8900122549,6.14754098361,1.31515034301
500,1.28851172098,1.27989156182,9.98008578431,10.8161083393,646.292536483
1000,1.26786724863,1.25756504413,9.97242647059,10.7982893799,1288.99822907
1500,1.27161102,1.25983751504,10.4090073529,11.0477548111,1934.1580633
2000,1.22405451821,1.21745361232,10.1485906863,11.1724875267,2575.3092436
2500,1.23380457336,1.2281072684,10.0566789216,10.7270135424,3239.56298702
3000,1.23201645857,1.22563563407,9.91881127451,10.6022808268,3920.36857692
3500,1.22913251613,1.22034712609,9.7043504902,10.5310049893,4579.20895545
4000,1.22714553516,1.22051033558,10.7843137255,11.617961511,5213.11614705
4500,1.21435895894,1.2085663344,10.071997549,10.8339272986,5849.53773747
5000,1.19687965978,1.1918533185,10.0643382353,10.8695652174,6485.17036718
5500,1.20268459817,1.19484186565,9.80392156863,10.5131860299,7120.30217229
6000,1.19633771775,1.19029492858,10.3553921569,11.1546685674,7753.3923729
