iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,1.69181225749,1.69250301891,2.734375,2.6193870278,1.00857997
500,1.35335560026,1.35274210544,8.19546568627,8.01853171775,481.695288179
1000,1.31190262786,1.30876239363,9.26011029412,8.9629365645,969.562270769
1500,1.27617868945,1.27241968304,8.47886029412,9.05203136137,1454.91474757
2000,1.25802737789,1.25755878679,9.22181372549,9.65787598004,1941.212858
2500,1.2639083361,1.2670331579,9.3443627451,9.6222380613,2430.56563631
3000,1.29767821957,1.29962723801,9.75030637255,9.85388453314,2918.64091272
3500,1.24479529001,1.24627236437,9.0456495098,9.14112615823,3410.26606781
4000,1.25033637663,1.25449659932,9.18351715686,8.89166072701,3904.27639028
4500,1.26164032879,1.25919355584,9.33670343137,9.69351389879,4397.11311201
5000,1.25549509116,1.2520807857,9.81158088235,10.1033499644,4891.79005355
5500,1.3029686702,1.29941447056,8.59375,8.67783321454,5398.6530397
6000,1.29023505946,1.28706050933,9.24479166667,9.4262295082,5903.0806706
