iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,1.89130781737,1.89187116166,4.00582107843,4.00926585887,4.799982364
500,1.36517355512,1.37009000508,3.69944852941,3.22523164647,2690.50930502
1000,1.32338109593,1.32038484557,3.59987745098,3.58161083393,5370.24007191
1500,1.35031950658,1.34890977078,6.54871323529,6.25445473984,7895.12220626
2000,1.33425114038,1.33312887381,4.3275122549,4.43692088382,10098.5711579
2500,1.36864682995,1.36788619764,5.84405637255,5.86243763364,12101.8793616
3000,1.32555350462,1.32342660384,5.03982843137,4.72202423378,14093.0794065
3500,1.37987121659,1.37821861526,3.81433823529,3.5994297933,16093.7954961
4000,1.36693677146,1.36295658632,4.94025735294,4.66856735567,18092.92931
4500,1.36454520421,1.36066471197,6.42616421569,6.36136849608,20108.3060112
5000,1.37290312414,1.36883108231,7.70526960784,7.57305773343,22113.1133777
5500,1.36008183184,1.36025703987,5.39981617647,5.25659301497,24105.5572208
6000,1.33620961789,1.33786000045,5.95128676471,5.59515324305,26094.4748941
