iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,1.66259521545,1.66041565944,2.65012254902,2.72630078403,0.0573552970001
100,1.45440506168,1.44863864896,5.36917892157,5.57733428368,6.565985612
300,1.31884788961,1.31642556932,5.03216911765,5.25659301497,19.649942111
500,1.26526681811,1.26888710523,5.18535539216,5.13186029936,32.727789891
1000,1.19104066203,1.19195760404,7.35294117647,7.12758374911,65.284764899
1500,1.1545667983,1.15249439016,7.36825980392,7.09194583036,97.844371005
2000,1.14358584911,1.1462243627,8.48651960784,8.19672131148,130.711832027
2500,1.08578753493,1.09046902824,10.9068627451,10.4062722737,163.714297019
3000,1.06404869639,1.06992851317,12.9136029412,12.2238061297,196.702558589
3500,1.04104079805,1.04338910788,13.8786764706,13.5780470421,229.596379594
4000,1.03889326934,1.04001304054,15.2190563725,14.7362794013,262.213314816
4500,1.00304403356,1.00528134884,17.7849264706,17.640769779,295.09811896
5000,0.97730976025,0.979576381567,19.4852941176,19.1375623664,327.873779648
5500,0.97755927195,0.97916366345,18.8419117647,18.9950106914,360.44612941
6000,0.942783317362,0.944039690282,22.2196691176,21.7391304348,393.296884471
