iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,1.67400077805,1.67086346253,4.37346813725,4.63292943692,1.405691156
500,1.42251491201,1.42227942139,2.46629901961,2.56593014968,770.293487088
1000,1.36302254057,1.36123306884,3.73774509804,4.04490377762,1536.64540352
1500,1.42102962797,1.41939319127,2.71905637255,2.45901639344,2302.21988491
2000,1.44094466099,1.44222487959,3.34712009804,3.27868852459,3066.37790609
2500,1.36606675059,1.36761793897,5.24662990196,4.84675694939,3836.09393309
3000,1.52956084842,1.52854920946,5.0474877451,5.07840342124,4618.27935647
3500,1.37297553263,1.37612240486,5.28492647059,5.11404133999,5405.01507781
4000,1.39834762337,1.40164019428,5.72916666667,5.45260156807,6187.15531725
4500,1.37093977058,1.37238599821,6.22702205882,6.20099786172,6966.76306323
5000,1.36150133248,1.36168121287,4.91727941176,4.90021382751,7751.04614307
5500,1.39895443732,1.39789131018,2.87224264706,2.86885245902,8534.2858452
6000,1.35892220523,1.35681809792,5.1393995098,5.25659301497,9316.9094956
