iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,1.65432252796,1.64885130113,3.0637254902,3.24305060584,0.067559441
100,1.62466783398,1.62248768638,3.26286764706,3.58161083393,7.418107131
300,1.50891489403,1.50677247794,3.21691176471,3.31432644334,21.584477874
500,1.39964084384,1.39417805213,4.17432598039,4.54383464006,35.393518644
1000,1.31769665347,1.31073715326,3.125,3.51033499644,71.366269477
1500,1.22959367557,1.22411005271,4.05943627451,4.56165359943,107.406178121
2000,1.18996542244,1.18814672318,4.18198529412,4.13399857448,145.12885145
2500,1.18676642892,1.18549170454,6.03553921569,6.00498930862,180.754139667
3000,1.12266752732,1.12036293735,8.31801470588,8.62437633642,217.950528939
3500,1.09021971368,1.08334628852,10.5775122549,11.0833927299,256.33191152
4000,1.0859326251,1.08291662804,10.8149509804,11.1903064861,293.270269657
4500,1.06508678422,1.05885443416,11.6268382353,12.4554526016,332.713005666
5000,1.05352780246,1.04860061692,12.9059436275,13.4711332858,368.325338016
5500,1.06761960364,1.06219024751,12.7450980392,13.7918745545,404.93258906
6000,1.03009739974,1.02580411295,14.7977941176,15.4668567356,440.010460178
