iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,1.85070681805,1.85668230284,1.85125106333,3.68412990196,3.67534456355,3.86671418389,0.0881901679995
10,1.8462546736,1.85342054584,1.84666538624,3.71476715686,3.67534456355,3.86671418389,0.885518098002
20,1.84903605374,1.85389240131,1.85053386993,3.72242647059,3.82848392037,3.84889522452,1.707365106
30,1.84501496122,1.85126753035,1.84580512226,3.39307598039,3.44563552833,3.47469707769,2.531090014
40,1.87011204103,1.87548869001,1.87223402157,3.5462622549,3.59877488515,3.67070563079,3.320929103
50,1.83687852626,1.84094179465,1.83826210089,3.22457107843,3.29249617152,3.34996436208,4.144696679
60,1.84616681659,1.84938139142,1.84688255145,3.23223039216,3.36906584992,3.34996436208,4.93249915
70,1.86348827703,1.86746092408,1.86403497595,3.22457107843,3.44563552833,3.27868852459,5.736838627
80,1.81798745951,1.82300859861,1.82140804265,3.10968137255,3.21592649311,3.18959372773,6.56914179901
90,1.84131589038,1.8475918943,1.84243216866,3.27052696078,3.44563552833,3.38560228083,7.342648682
100,1.74135888816,1.74933121791,1.74547566182,2.60416666667,2.37366003063,2.63720598717,8.145256465
110,1.73793297468,1.74815041464,1.73864156976,2.45863970588,2.14395099541,2.49465431219,8.940968758
120,1.73766040573,1.74780213028,1.73841499671,2.45863970588,2.14395099541,2.49465431219,9.74099379
130,1.7439848371,1.75381247459,1.74493509128,2.49693627451,2.22052067381,2.53029223093,10.528688171
140,1.70673331036,1.72012953608,1.70779321463,2.48161764706,2.22052067381,2.60156806842,11.314038736
150,1.65630481816,1.65876504784,1.65406266743,2.87224264706,2.45022970904,2.92230933713,12.210296305
160,1.6371979292,1.64821677386,1.63326110861,2.88756127451,2.67993874426,3.10049893086,13.039253278
170,1.66113353952,1.66646557274,1.6577203727,2.69607843137,2.37366003063,2.77975766215,13.889305189
180,1.65926296458,1.66461863501,1.65591547261,2.71905637255,2.37366003063,2.8153955809,14.731504739
190,1.62710845792,1.63315700201,1.62361477205,2.59650735294,2.067381317,2.70848182466,15.56371632
200,1.6319207528,1.63529950419,1.62819992488,2.58118872549,2.067381317,2.70848182466,16.433088806
210,1.6760302264,1.67718383795,1.67380782232,2.63480392157,2.37366003063,2.67284390592,17.270961392
220,1.67396121786,1.67449153988,1.67205826871,2.61948529412,2.37366003063,2.65502494654,18.098301586
230,1.67151353984,1.67279850166,1.6697954139,2.58118872549,2.37366003063,2.51247327156,18.909246424
240,1.71059333787,1.72666869092,1.70839204681,2.22886029412,1.99081163859,2.4233784747,19.721782442
250,1.64979797336,1.65918777616,1.64856708021,2.6731004902,2.45022970904,2.85103349964,20.515422843
260,1.67019218359,1.67540151787,1.67219987832,3.23988970588,3.29249617152,3.43905915895,21.315347181
270,1.64753775469,1.65621475276,1.65116082574,3.98284313725,3.90505359877,4.09836065574,22.106946411
280,1.64037417974,1.64910850319,1.64443757693,3.89859068627,3.67534456355,4.00926585887,22.892367517
290,1.63264350619,1.64132420258,1.63759983068,3.82965686275,3.67534456355,4.02708481825,23.690977153
300,1.71976954302,1.73079703184,1.71957034026,3.64583333333,3.75191424196,3.77761938703,24.499368822
310,1.73115474569,1.73973035433,1.73065417881,3.56158088235,3.52220520674,3.75980042766,25.306727389
320,1.73192862371,1.74056914654,1.73147265802,3.5768995098,3.52220520674,3.75980042766,26.109859686
330,1.75672354833,1.76447862359,1.75862467391,3.0637254902,3.21592649311,3.2074126871,26.904133258
340,1.69121336278,1.69847664631,1.69263458395,3.44669117647,3.59877488515,3.65288667142,27.732289805
350,1.70917792929,1.71306632265,1.70401418744,2.734375,2.29709035222,2.95794725588,28.547575258
360,1.7122778638,1.7127546388,1.70927415022,2.49693627451,2.37366003063,2.8153955809,29.368759513
370,1.71206227947,1.71442069882,1.70886269978,2.19822303922,1.83767228178,2.44119743407,30.18640699
380,1.73718430812,1.74460819209,1.7302362568,1.82291666667,1.60796324655,1.99572344975,31.010102316
390,1.74293485406,1.74969808838,1.73601414813,1.84589460784,1.45482388974,1.99572344975,31.84823659
400,1.75655066966,1.76218196097,1.74991772366,2.60416666667,2.60336906585,2.92230933713,32.677497345
410,1.79713727612,1.80208623211,1.79322257904,2.87990196078,2.75650842266,3.10049893086,33.485291681
420,1.79003086546,1.79541576691,1.78729979738,1.53952205882,1.22511485452,1.87099073414,34.313895374
430,1.78277060432,1.79035370056,1.78198287923,2.2824754902,1.91424196018,2.49465431219,35.11957743
440,1.76788644763,1.78013636184,1.76552810157,2.08333333333,1.45482388974,2.36992159658,35.978589328
450,1.77196549621,1.78456968474,1.76893408699,2.02971813725,1.37825421133,2.35210263721,36.788641582
460,1.76201026584,1.77381311311,1.75743648041,2.00674019608,1.53139356815,2.2273699216,37.599948232
470,1.74928852276,1.75573012737,1.74243552724,2.15226715686,1.45482388974,2.38774055595,38.384813534
480,1.73941554142,1.74457650782,1.73129542591,2.95649509804,2.75650842266,3.15395580898,39.190026825
490,1.74591213557,1.74531483472,1.73876679716,2.89522058824,2.67993874426,3.13613684961,39.987153941
500,1.73050264274,1.73360722924,1.72003296255,1.85355392157,1.60796324655,2.13827512473,40.811269106
510,1.72360800065,1.72809155807,1.71553416498,1.96844362745,1.45482388974,2.15609408411,41.613715325
520,1.71730105739,1.7203576129,1.70924454969,1.65441176471,1.30168453292,1.90662865289,42.412055878
530,1.73450525389,1.74254807096,1.73162052712,2.26715686275,1.99081163859,2.33428367783,43.203538485
540,1.74021233443,1.74954093102,1.73705146724,2.12162990196,1.76110260337,2.20955096222,43.990860246
550,1.74395516731,1.75373897586,1.74064864642,2.05269607843,1.76110260337,2.2273699216,44.7953044
560,1.74373494044,1.75473352642,1.74068825306,2.12928921569,1.83767228178,2.26300784034,45.607846677
570,1.73912807046,1.74865139763,1.73636681211,2.26715686275,1.99081163859,2.33428367783,46.460384062
580,1.74001782949,1.75036101623,1.73480428455,2.14460784314,1.83767228178,2.26300784034,47.262854744
590,1.73943666324,1.7489708181,1.7345999696,2.15226715686,1.83767228178,2.26300784034,48.061516152
600,1.73797327996,1.74676331048,1.73483971732,1.83057598039,1.45482388974,2.08481824661,48.892048375
610,1.75839406839,1.76379549429,1.75932994423,2.77267156863,2.29709035222,2.63720598717,49.702109161
620,1.77462080235,1.7874101074,1.7736383311,3.37775735294,2.83307810107,3.42124019957,50.49976705
630,1.7749362304,1.78786733484,1.7739380367,3.38541666667,2.83307810107,3.42124019957,51.289940647
640,1.76850941218,1.78127037654,1.76924680994,3.10202205882,2.60336906585,3.31432644334,52.091691683
650,1.77208899772,1.78320017433,1.7724304969,3.30882352941,2.83307810107,3.27868852459,52.899279512
660,1.77039575443,1.78441080521,1.77259544566,3.36243872549,2.98621745789,3.45687811832,53.710507088
670,1.7702540842,1.78427965852,1.77272466986,3.37775735294,2.98621745789,3.42124019957,54.515376201
680,1.7784439563,1.79218945851,1.78063716673,3.40073529412,3.06278713629,3.43905915895,55.32673519
690,1.77830858109,1.79234044811,1.78043973668,3.40839460784,3.06278713629,3.43905915895,56.141304415
700,1.78032197156,1.79206214863,1.78331141343,3.41605392157,3.1393568147,3.45687811832,56.975743192
710,1.77557142769,1.7879390854,1.77871297542,3.56924019608,3.21592649311,3.49251603706,57.808044657
720,1.77040403569,1.78546757351,1.77375969671,3.40839460784,2.90964777948,3.4034212402,58.603014549
730,1.77534161379,1.78831936201,1.77834219066,3.74540441176,3.44563552833,3.70634354954,59.417716325
740,1.77559396,1.78854502814,1.7786416948,3.76072303922,3.52220520674,3.72416250891,60.211097314
750,1.76444971222,1.77476399283,1.76923535096,3.95986519608,3.59877488515,3.95580898076,60.997155571
